session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
AB_0032/2024-05-12/1,PASS,pass,pass,pass,pass,pass,pass,103766730240,42469052665,42469052665,
AB_0032/2024-05-21/1,PASS,pass,pass,pass,pass,pass,pass,96594212352,39144065492,39144065492,
AB_0032/2024-05-23/1,PASS,pass,pass,pass,pass,pass,pass,90602558976,37277389766,37277389766,
AB_0032/2024-05-25/1,PASS,pass,pass,pass,pass,pass,pass,92016938496,37434851579,37434851579,
AB_0032/2024-06-20/3,PASS,pass,pass,pass,pass,pass,pass,96484099584,41125843973,41125843973,
AB_0032/2024-06-21/1,PASS,pass,pass,pass,pass,pass,pass,180702647808,77986009498,77986009498,
AB_0032/2024-06-25/1,PASS,pass,pass,pass,pass,pass,pass,29458963968,12729439749,12729439749,
AB_0032/2024-06-27/1,PASS,pass,pass,pass,pass,pass,pass,193293473280,85011481838,85011481838,
AB_0032/2024-06-28/1,PASS,pass,pass,pass,pass,pass,pass,267169648128,115379509534,115379509534,
AB_0032/2024-07-08/1,PASS,pass,pass,pass,pass,pass,pass,151111423488,65705722562,65705722562,
AB_0032/2024-07-19/1,PASS,pass,pass,pass,pass,pass,pass,148181411328,63600345054,63600345054,
AB_0032/2024-07-24/1,PASS,pass,pass,pass,pass,pass,pass,246396304896,108934842267,108934842267,
AB_0032/2024-07-26/1,PASS,pass,pass,pass,pass,pass,pass,103462970880,45211414160,45211414160,
AB_0032/2024-07-29/1,PASS,pass,pass,pass,pass,pass,pass,206220332544,90634212367,90634212367,
AB_0032/2024-08-13/2,PASS,pass,pass,pass,pass,pass,pass,193300434432,80549036669,80549036669,
AB_0032/2024-08-14/1,PASS,pass,pass,pass,pass,pass,pass,226635492864,93748471303,93748471303,
AL_0014/2022-08-08/1,PASS,pass,pass,pass,pass,pass,pass,128783844864,56537226330,56537226330,
AL_0014/2022-08-09/2,PASS,pass,pass,pass,pass,pass,pass,138402258432,62623767180,62623767180,
AL_0014/2022-08-15/1,PASS,pass,pass,pass,pass,pass,pass,72019446272,32221679431,32221679431,
AL_0014/2022-08-17/1,PASS,pass,pass,pass,pass,pass,pass,159801472512,60480065463,60480065463,
AL_0015/2022-08-22/1,PASS,pass,pass,pass,pass,pass,pass,87434601984,39683599163,39683599163,
AL_0015/2022-09-22/1,PASS,pass,pass,pass,pass,pass,pass,24443137536,10585161678,10585161678,
AL_0016/2022-10-04/1,PASS,pass,pass,pass,pass,pass,pass,143087113728,61821484753,61821484753,
AL_0023/2023-05-15/1,PASS,pass,pass,pass,pass,pass,pass,79553945088,34199080679,34199080679,
AL_0023/2023-05-15/5,PASS,pass,pass,pass,pass,pass,pass,31639918080,13216733344,13216733344,
AL_0023/2023-05-18/1,PASS,pass,pass,pass,pass,pass,pass,74639001600,32055415045,32055415045,
AL_0023/2023-05-18/4,PASS,pass,pass,pass,pass,pass,pass,54804518400,23950230159,23950230159,
AL_0023/2023-05-18/7,PASS,pass,pass,pass,pass,pass,pass,54469117440,23711340048,23711340048,
AL_0023/2023-06-27/1,PASS,pass,pass,pass,pass,pass,pass,83149696512,36254560363,36254560363,
AL_0023/2023-07-10/1,PASS,pass,pass,pass,pass,pass,pass,128938888704,56284823321,56284823321,
AL_0023/2023-08-09/1,PASS,pass,pass,pass,pass,pass,pass,100079218176,43813541848,43813541848,
AL_0023/2023-08-11/1,PASS,pass,pass,pass,pass,pass,pass,62002982400,26925082510,26925082510,
AL_0023/2023-08-14/1,PASS,pass,pass,pass,pass,pass,pass,85655078400,37358365061,37358365061,
AL_0023/2023-08-15/1,PASS,pass,pass,pass,pass,pass,pass,85946813952,37501564449,37501564449,
AL_0023/2023-08-23/3,PASS,pass,pass,pass,pass,pass,pass,160343809536,68857642098,68857642098,
AL_0023/2023-08-24/1,PASS,pass,pass,pass,pass,pass,pass,160874755584,69923786543,69923786543,
AL_0023/2023-08-25/2,PASS,pass,pass,pass,pass,pass,pass,150930433536,64315974376,64315974376,
AL_0023/2023-08-30/1,PASS,pass,pass,pass,pass,pass,pass,217932787200,95222436473,95222436473,
AL_0023/2023-09-06/1,PASS,pass,pass,pass,pass,pass,pass,86727095808,37439226199,37439226199,
AL_0023/2023-10-10/1,PASS,pass,pass,pass,pass,pass,pass,110096315904,48373592073,48373592073,
AL_0023/2023-10-23/1,PASS,pass,pass,pass,pass,pass,pass,115539303936,50250447183,50250447183,
AL_0023/2023-10-27/1,PASS,pass,pass,pass,pass,pass,pass,87872522240,38684634249,38684634249,
AL_0023/2023-10-27/4,PASS,pass,pass,pass,pass,pass,pass,35695523840,15614637913,15614637913,
AL_0027/2023-10-24/1,PASS,pass,pass,pass,pass,pass,pass,63553420800,27262245535,27262245535,
AL_0027/2023-12-07/1,PASS,pass,pass,pass,pass,pass,pass,138092803584,60008741519,60008741519,
AL_0029/2023-11-30/1,PASS,pass,pass,pass,pass,pass,pass,33127491072,13668082310,13668082310,
AL_0030/2024-01-18/2,PASS,pass,pass,pass,pass,pass,pass,135088750080,53899081450,53899081450,
AL_0030/2024-01-19/3,PASS,pass,pass,pass,pass,pass,pass,81944784384,34985524960,34985524960,
AL_0030/2024-01-22/2,PASS,pass,pass,pass,pass,pass,pass,113090244096,43830817421,43830817421,
AL_0030/2024-01-22/5,PASS,pass,pass,pass,pass,pass,pass,14565262848,5691748887,5691748887,
AL_0030/2024-01-23/1,PASS,pass,pass,pass,pass,pass,pass,67890851840,25990932550,25990932550,
AL_0030/2024-01-25/1,PASS,pass,pass,pass,pass,pass,pass,70188031488,25897515271,25897515271,
AL_0032/2024-04-09/1,PASS,pass,pass,pass,pass,pass,pass,138663618048,58786392694,58786392694,
AL_0032/2024-04-14/1,PASS,pass,pass,pass,pass,pass,pass,160635545088,67990951969,67990951969,
AL_0032/2024-04-19/1,PASS,pass,pass,pass,pass,pass,pass,197884669440,80129584131,80129584131,
AL_0032/2024-04-19/2,PASS,pass,pass,pass,pass,pass,pass,171086765568,69248939984,69248939984,
AL_0032/2024-04-27/1,PASS,pass,pass,pass,pass,pass,pass,164628082176,67403461757,67403461757,
AL_0032/2024-04-28/1,PASS,pass,pass,pass,pass,pass,pass,151915752960,64441528746,64441528746,
AL_0032/2024-05-12/1,PASS,pass,pass,pass,pass,pass,pass,143971180032,57934816102,57934816102,
AL_0032/2024-05-15/1,PASS,pass,pass,pass,pass,pass,pass,189282584064,77942716370,77942716370,
AL_0032/2024-06-10/1,PASS,pass,pass,pass,pass,pass,pass,118348445184,48191484631,48191484631,
AL_0032/2024-06-11/1,PASS,pass,pass,pass,pass,pass,pass,102883296768,41152614901,41152614901,
AL_0032/2024-06-12/1,PASS,pass,pass,pass,pass,pass,pass,4236177920,1722502966,1722502966,
AL_0033/2024-06-21/1,PASS,pass,pass,pass,pass,pass,pass,56184723968,23164840068,23164840068,
AL_0033/2024-06-21/2,PASS,pass,pass,pass,pass,pass,pass,172054998528,70940782071,70940782071,
AL_0033/2024-06-22/1,PASS,pass,pass,pass,pass,pass,pass,199984406016,81558255681,81558255681,
AL_0033/2024-06-24/1,PASS,pass,pass,pass,pass,pass,pass,117480832512,48236066038,48236066038,
AL_0033/2024-06-27/1,PASS,pass,pass,pass,pass,pass,pass,103426266624,41736871806,41736871806,
AL_0033/2024-07-09/1,PASS,pass,pass,pass,pass,pass,pass,183598487040,75977832896,75977832896,
AL_0033/2024-07-12/1,PASS,pass,pass,pass,pass,pass,pass,252944217600,104451825215,104451825215,
AL_0033/2024-07-18/1,PASS,pass,pass,pass,pass,pass,pass,210998214144,87673388684,87673388684,
AL_0033/2024-07-19/1,PASS,pass,pass,pass,pass,pass,pass,202618885632,83326587452,83326587452,
AL_0033/2024-07-25/1,PASS,pass,pass,pass,pass,pass,pass,136525278720,55470916045,55470916045,
AL_0033/2024-07-26/1,PASS,pass,pass,pass,pass,pass,pass,175910843904,71877214874,71877214874,
AL_0033/2024-08-09/1,PASS,pass,pass,pass,pass,pass,pass,209076936192,87305399347,87305399347,
AL_0033/2024-08-16/1,PASS,pass,pass,pass,pass,pass,pass,124417304064,50563629109,50563629109,
AL_0033/2024-08-18/1,PASS,pass,pass,pass,pass,pass,pass,207552443904,84055864052,84055864052,
AL_0033/2024-08-22/1,PASS,pass,pass,pass,pass,pass,pass,116865719808,48550293192,48550293192,
AL_0033/2024-08-23/1,PASS,pass,pass,pass,pass,pass,pass,197001868800,79578314527,79578314527,
AL_0033/2024-08-24/1,PASS,pass,pass,pass,pass,pass,pass,191799356928,75640273544,75640273544,
AL_0033/2024-08-26/1,PASS,pass,pass,pass,pass,pass,pass,199056041472,81056923136,81056923136,
AL_0033/2024-08-30/2,PASS,pass,pass,pass,pass,pass,pass,177894139392,72453869885,72453869885,
AL_0033/2024-09-09/1,PASS,pass,pass,pass,pass,pass,pass,204374361600,85010438628,85010438628,
AL_0033/2024-09-16/1,PASS,pass,pass,pass,pass,pass,pass,194669250048,81341106681,81341106681,
AL_0033/2024-09-23/1,PASS,pass,pass,pass,pass,pass,pass,212984040960,90461735952,90461735952,
AL_0033/2024-11-21/1,PASS,pass,pass,pass,pass,pass,pass,209657243136,87683477207,87683477207,
AL_0033/2024-11-25/1,PASS,pass,pass,pass,pass,pass,pass,55673396736,23907181964,23907181964,
AL_0033/2024-12-08/1,PASS,pass,pass,pass,pass,pass,pass,105532331520,44198150336,44198150336,
AL_0033/2024-12-11/1,PASS,pass,pass,pass,pass,pass,pass,98049725952,41683165503,41683165503,
AL_0033/2024-12-17/1,PASS,pass,pass,pass,pass,pass,pass,212073395712,91181826996,91181826996,
AL_0033/2024-12-20/1,PASS,pass,pass,pass,pass,pass,pass,158142819840,67644542180,67644542180,
AL_0033/2024-12-20/7,PASS,pass,pass,pass,pass,pass,pass,151196990464,65605579581,65605579581,
AL_0033/2024-12-23/1,PASS,pass,pass,pass,pass,pass,pass,145081192448,60944010459,60944010459,
AL_0033/2025-01-07/1,PASS,pass,pass,pass,pass,pass,pass,156721479168,65336814915,65336814915,
AL_0033/2025-01-09/1,PASS,pass,pass,pass,pass,pass,pass,106676516864,45032945959,45032945959,
AL_0033/2025-01-10/2,PASS,pass,pass,pass,pass,pass,pass,84544647168,34881998991,34881998991,
AL_0033/2025-01-14/7,PASS,pass,pass,pass,pass,pass,pass,93119331840,38615013571,38615013571,
AL_0033/2025-01-16/3,PASS,pass,pass,pass,pass,pass,pass,233675836928,96244698605,96244698605,
AL_0033/2025-01-17/1,PASS,pass,pass,pass,pass,pass,pass,294340435456,122923655024,122923655024,
AL_0033/2025-01-18/1,PASS,pass,pass,pass,pass,pass,pass,203782308352,73954012380,73954012380,
AL_0033/2025-01-20/2,PASS,pass,pass,pass,pass,pass,pass,154354382336,56889765357,56889765357,
AL_0033/2025-01-20/3,PASS,pass,pass,pass,pass,pass,pass,101511075328,37641680633,37641680633,
AL_0033/2025-01-21/1,PASS,pass,pass,pass,pass,pass,pass,251222914560,103769452226,103769452226,
AL_0033/2025-01-28/1,PASS,pass,pass,pass,pass,pass,pass,163194084864,67466248948,67466248948,
AL_0033/2025-01-29/1,PASS,pass,pass,pass,pass,pass,pass,242555450880,101523992747,101523992747,
AL_0033/2025-02-04/1,PASS,pass,pass,pass,pass,pass,pass,74564064768,29411182018,29411182018,
AL_0033/2025-02-12/2,PASS,pass,pass,pass,pass,pass,pass,187632534016,75230804757,75230804757,
AL_0033/2025-02-13/2,PASS,pass,pass,pass,pass,pass,pass,205231695360,85146418186,85146418186,
AL_0033/2025-02-21/2,PASS,pass,pass,pass,pass,pass,pass,113862564352,45874433515,45874433515,
AL_0033/2025-02-24/2,PASS,pass,pass,pass,pass,pass,pass,188462369280,75587614645,75587614645,
AL_0033/2025-02-24/3,REFUSE,pass,pass,pass,fail,pass,pass,-1,6001539791,6001539791,C4: the tar is already gone
AL_0033/2025-02-25/1,PASS,pass,pass,pass,pass,pass,pass,54681748992,22219821600,22219821600,
AL_0033/2025-02-26/2,PASS,pass,pass,pass,pass,pass,pass,173607564800,69602838388,69602838388,
AL_0033/2025-03-03/2,PASS,pass,pass,pass,pass,pass,pass,290073876992,112440590229,112440590229,
AL_0033/2025-03-04/1,PASS,pass,pass,pass,pass,pass,pass,100589594112,40615146489,40615146489,
AL_0033/2025-03-04/2,PASS,pass,pass,pass,pass,pass,pass,59907579392,24258899343,24258899343,
AL_0033/2025-03-05/1,PASS,pass,pass,pass,pass,pass,pass,176954525184,74619219130,74619219130,
AL_0033/2025-03-05/2,PASS,pass,pass,pass,pass,pass,pass,27152939520,11578243964,11578243964,
AL_0033/2025-03-06/1,PASS,pass,pass,pass,pass,pass,pass,55972093440,22636340045,22636340045,
AL_0033/2025-03-12/1,PASS,pass,pass,pass,pass,pass,pass,88809113088,35700317171,35700317171,
AL_0033/2025-03-17/1,PASS,pass,pass,pass,pass,pass,pass,1610082816,682336506,682336506,
AL_0033/2025-03-17/3,PASS,pass,pass,pass,pass,pass,pass,112451467776,47298305244,47298305244,
AL_0033/2025-03-18/1,PASS,pass,pass,pass,pass,pass,pass,113696848384,47961818718,47961818718,
AL_0033/2025-03-20/4,PASS,pass,pass,pass,pass,pass,pass,85830829568,34700005201,34700005201,
AL_0033/2025-03-27/5,PASS,pass,pass,pass,pass,pass,pass,110618402304,43948091087,43948091087,
AL_0033/2025-03-28/3,PASS,pass,pass,pass,pass,pass,pass,166012085760,65635193902,65635193902,
AL_0033/2025-04-03/1,PASS,pass,pass,pass,pass,pass,pass,204944543232,83070913477,83070913477,
AL_0033/2025-04-11/1,PASS,pass,pass,pass,pass,pass,pass,134941933056,54542192374,54542192374,
AL_0033/2025-04-15/1,PASS,pass,pass,pass,pass,pass,pass,172763292160,69461410139,69461410139,
AL_0033/2025-04-15/2,PASS,pass,pass,pass,pass,pass,pass,53498012160,21737585969,21737585969,
AL_0033/2025-04-18/4,PASS,pass,pass,pass,pass,pass,pass,254959667712,101477536803,101477536803,
AL_0033/2025-04-19/1,PASS,pass,pass,pass,pass,pass,pass,93399780864,37603604270,37603604270,
AL_0033/2025-04-20/2,PASS,pass,pass,pass,pass,pass,pass,85102683648,33916256228,33916256228,
AL_0033/2025-04-28/1,PASS,pass,pass,pass,pass,pass,pass,327825962496,129788354030,129788354030,
AL_0033/2025-04-29/1,PASS,pass,pass,pass,pass,pass,pass,133685761536,53533815987,53533815987,
AL_0033/2025-04-30/1,PASS,pass,pass,pass,pass,pass,pass,246364663296,100105219900,100105219900,
AL_0033/2025-05-10/1,PASS,pass,pass,pass,pass,pass,pass,199644575232,79389318430,79389318430,
AL_0033/2025-05-12/1,PASS,pass,pass,pass,pass,pass,pass,74178037248,29623395081,29623395081,
AL_0033/2025-05-12/3,PASS,pass,pass,pass,pass,pass,pass,213544730112,85369271959,85369271959,
AL_0033/2025-05-26/1,PASS,pass,pass,pass,pass,pass,pass,53320527360,21793438611,21793438611,
AL_0033/2025-06-06/3,PASS,pass,pass,pass,pass,pass,pass,318587880960,127552796550,127552796550,
AL_0033/2025-06-07/3,PASS,pass,pass,pass,pass,pass,pass,292453817856,116864674076,116864674076,
AL_0033/2025-06-08/2,PASS,pass,pass,pass,pass,pass,pass,314173877760,121988449690,121988449690,
AL_0033/2025-06-10/1,PASS,pass,pass,pass,pass,pass,pass,114381854208,43767316415,43767316415,
AL_0033/2025-06-10/2,PASS,pass,pass,pass,pass,pass,pass,58432544256,22387320761,22387320761,
AL_0033/2025-06-10/3,PASS,pass,pass,pass,pass,pass,pass,57801610752,21943479184,21943479184,
AL_0033/2025-06-11/1,PASS,pass,pass,pass,pass,pass,pass,115217825280,45795245338,45795245338,
AL_0033/2025-06-11/2,PASS,pass,pass,pass,pass,pass,pass,36801713664,14527570752,14527570752,
AL_0033/2025-06-13/3,PASS,pass,pass,pass,pass,pass,pass,156639211008,59472002320,59472002320,
AL_0033/2025-06-14/1,PASS,pass,pass,pass,pass,pass,pass,124843832832,48245676310,48245676310,
AL_0033/2025-06-18/1,PASS,pass,pass,pass,pass,pass,pass,227257566720,83664534869,83664534869,
AL_0033/2025-06-23/1,PASS,pass,pass,pass,pass,pass,pass,231719665152,88925850844,88925850844,
AL_0033/2025-06-24/1,PASS,pass,pass,pass,pass,pass,pass,180910849536,70830783483,70830783483,
AL_0033/2025-08-04/1,PASS,pass,pass,pass,pass,pass,pass,164997656064,64191425947,64191425947,
AL_0033/2025-08-05/1,PASS,pass,pass,pass,pass,pass,pass,25258857984,9721665353,9721665353,
AL_0033/2025-08-05/4,PASS,pass,pass,pass,pass,pass,pass,174406602240,66762322481,66762322481,
AL_0033/2025-08-05/9,PASS,pass,pass,pass,pass,pass,pass,14830419456,5789054416,5789054416,
AL_0033/2025-08-07/1,PASS,pass,pass,pass,pass,pass,pass,101911266816,40244078818,40244078818,
AL_0033/2025-08-07/3,PASS,pass,pass,pass,pass,pass,pass,84519777792,33254110730,33254110730,
AL_0033/2025-08-08/1,PASS,pass,pass,pass,pass,pass,pass,1684600320,667517935,667517935,
AL_0033/2025-08-08/2,PASS,pass,pass,pass,pass,pass,pass,101090483712,39946722288,39946722288,
AL_0033/2025-08-08/4,PASS,pass,pass,pass,pass,pass,pass,73131333120,28845028273,28845028273,
AL_0034/2024-07-25/1,PASS,pass,pass,pass,pass,pass,pass,185006538240,78799730822,78799730822,
AL_0034/2024-07-29/1,PASS,pass,pass,pass,pass,pass,pass,95219701248,40815580367,40815580367,
AL_0034/2024-08-12/1,PASS,pass,pass,pass,pass,pass,pass,151596172800,63227494812,63227494812,
AL_0034/2024-08-13/1,PASS,pass,pass,pass,pass,pass,pass,200368535040,85792040615,85792040615,
AL_0034/2024-08-19/1,PASS,pass,pass,pass,pass,pass,pass,137334038016,54513552607,54513552607,
AL_0034/2024-08-20/1,PASS,pass,pass,pass,pass,pass,pass,175636827648,76461902411,76461902411,
AL_0034/2024-08-26/1,PASS,pass,pass,pass,pass,pass,pass,109105300992,44875203538,44875203538,
AL_0034/2024-08-27/1,PASS,pass,pass,pass,pass,pass,pass,197432194560,82285347753,82285347753,
AL_0034/2024-08-29/1,PASS,pass,pass,pass,pass,pass,pass,112905457152,45404062938,45404062938,
AL_0034/2024-08-30/1,PASS,pass,pass,pass,pass,pass,pass,90580409856,36752142158,36752142158,
AL_0034/2024-09-02/1,PASS,pass,pass,pass,pass,pass,pass,113997725184,48091569872,48091569872,
AL_0034/2024-09-03/1,PASS,pass,pass,pass,pass,pass,pass,195762150912,84674361220,84674361220,
AL_0034/2024-09-19/2,PASS,pass,pass,pass,pass,pass,pass,177902366208,75069958172,75069958172,
AL_0034/2024-10-16/1,PASS,pass,pass,pass,pass,pass,pass,49169782272,21026640905,21026640905,
AL_0034/2024-11-17/1,PASS,pass,pass,pass,pass,pass,pass,132251131392,56248391093,56248391093,
AL_0034/2024-11-18/10,PASS,pass,pass,pass,pass,pass,pass,23680574976,9739021651,9739021651,
AL_0034/2024-11-18/7,PASS,pass,pass,pass,pass,pass,pass,43789444608,18074001984,18074001984,
AL_0034/2024-11-19/3,PASS,pass,pass,pass,pass,pass,pass,23130643968,9523254750,9523254750,
AL_0034/2024-11-19/5,PASS,pass,pass,pass,pass,pass,pass,22074447360,9019632576,9019632576,
AL_0035/2024-08-12/1,PASS,pass,pass,pass,pass,pass,pass,143465547264,59289722123,59289722123,
AL_0035/2024-08-14/1,PASS,pass,pass,pass,pass,pass,pass,179614176768,75687580453,75687580453,
AL_0035/2024-08-16/1,PASS,pass,pass,pass,pass,pass,pass,126138607104,52232273250,52232273250,
AL_0035/2024-08-22/1,PASS,pass,pass,pass,pass,pass,pass,129462873600,55027163730,55027163730,
AL_0035/2024-08-29/1,PASS,pass,pass,pass,pass,pass,pass,127437811200,51870584553,51870584553,
AL_0035/2024-09-04/1,PASS,pass,pass,pass,pass,pass,pass,150357087744,65167266515,65167266515,
AL_0035/2024-09-10/1,PASS,pass,pass,pass,pass,pass,pass,145750703616,61847362125,61847362125,
AL_0035/2024-12-05/1,PASS,pass,pass,pass,pass,pass,pass,41725779456,18361214712,18361214712,
AL_0035/2024-12-09/1,PASS,pass,pass,pass,pass,pass,pass,149788804608,65210889294,65210889294,
AL_0035/2024-12-19/2,PASS,pass,pass,pass,pass,pass,pass,131862572544,57058092119,57058092119,
AL_0035/2025-01-08/1,PASS,pass,pass,pass,pass,pass,pass,233308706304,104623000213,104623000213,
AL_0035/2025-01-11/1,PASS,pass,pass,pass,pass,pass,pass,117675744768,49555280497,49555280497,
AL_0035/2025-01-12/1,PASS,pass,pass,pass,pass,pass,pass,106182882816,47545920447,47545920447,
AL_0035/2025-01-19/1,PASS,pass,pass,pass,pass,pass,pass,187434714624,83901202143,83901202143,
AL_0035/2025-01-25/1,PASS,pass,pass,pass,pass,pass,pass,169686941184,74476795122,74476795122,
AL_0035/2025-04-11/1,PASS,pass,pass,pass,pass,pass,pass,125613356544,53938545818,53938545818,
AL_0035/2025-04-14/1,PASS,pass,pass,pass,pass,pass,pass,128922435072,53923173324,53923173324,
AL_0035/2025-04-24/1,PASS,pass,pass,pass,pass,pass,pass,244069381632,102843430840,102843430840,
AL_0035/2025-04-25/1,PASS,pass,pass,pass,pass,pass,pass,181512672768,74055122711,74055122711,
AL_0035/2025-04-25/2,PASS,pass,pass,pass,pass,pass,pass,181512672768,74055122711,74055122711,
AL_0035/2025-04-27/1,PASS,pass,pass,pass,pass,pass,pass,189171838464,79917312819,79917312819,
AL_0035/2025-05-01/1,PASS,pass,pass,pass,pass,pass,pass,118668025344,50311919102,50311919102,
AL_0035/2025-05-08/1,PASS,pass,pass,pass,pass,pass,pass,115821547008,49715205586,49715205586,
AL_0035/2025-05-10/1,PASS,pass,pass,pass,pass,pass,pass,122172648960,51890082700,51890082700,
AL_0035/2025-05-11/1,PASS,pass,pass,pass,pass,pass,pass,70241189376,29584111082,29584111082,
AL_0035/2025-05-24/1,PASS,pass,pass,pass,pass,pass,pass,153477582336,65953580807,65953580807,
AL_0036/2024-12-13/1,PASS,pass,pass,pass,pass,pass,pass,162653013504,69916612621,69916612621,
AL_0036/2024-12-17/1,PASS,pass,pass,pass,pass,pass,pass,110813314560,49380791951,49380791951,
AL_0036/2024-12-19/1,PASS,pass,pass,pass,pass,pass,pass,175982353920,77009653161,77009653161,
AL_0036/2025-01-08/1,PASS,pass,pass,pass,pass,pass,pass,209834436096,91890037894,91890037894,
AL_0036/2025-01-11/1,PASS,pass,pass,pass,pass,pass,pass,106742939136,45669766901,45669766901,
AL_0036/2025-01-12/1,PASS,pass,pass,pass,pass,pass,pass,108237688320,47968585517,47968585517,
AL_0036/2025-01-15/1,PASS,pass,pass,pass,pass,pass,pass,94567325184,39923560570,39923560570,
AL_0036/2025-01-16/2,PASS,pass,pass,pass,pass,pass,pass,174053481984,72597134441,72597134441,
AL_0036/2025-01-16/5,PASS,pass,pass,pass,pass,pass,pass,49526066688,21162336720,21162336720,
AL_0036/2025-02-26/1,PASS,pass,pass,pass,pass,pass,pass,76894785024,29892520606,29892520606,
AL_0036/2025-02-27/3,PASS,pass,pass,pass,pass,pass,pass,26733989376,11016485620,11016485620,
AL_0037/2024-09-30/1,PASS,pass,pass,pass,pass,pass,pass,11429580288,4653788653,4653788653,
AL_0037/2024-10-01/1,PASS,pass,pass,pass,pass,pass,pass,95124143616,39183239491,39183239491,
AL_0037/2025-02-11/4,PASS,pass,pass,pass,pass,pass,pass,139744495104,56634695268,56634695268,
AL_0037/2025-02-28/2,PASS,pass,pass,pass,pass,pass,pass,140422258176,54251041894,54251041894,
AL_0038/2024-12-20/3,PASS,pass,pass,pass,pass,pass,pass,20048119296,7532940310,7532940310,
AL_0038/2024-12-27/1,PASS,pass,pass,pass,pass,pass,pass,120905719296,40820614329,40820614329,
AL_0038/2025-01-06/1,PASS,pass,pass,pass,pass,pass,pass,129166075392,47576997783,47576997783,
AL_0038/2025-02-18/1,PASS,pass,pass,pass,pass,pass,pass,183488374272,69272315337,69272315337,
AL_0038/2025-03-04/1,PASS,pass,pass,pass,pass,pass,pass,135523505664,51959565020,51959565020,
AL_0038/2025-04-04/2,PASS,pass,pass,pass,pass,pass,pass,136100648448,49630853311,49630853311,
AL_0038/2025-04-16/1,PASS,pass,pass,pass,pass,pass,pass,36945999360,12918892626,12918892626,
AL_0038/2025-05-01/1,PASS,pass,pass,pass,pass,pass,pass,49505816064,18400612549,18400612549,
AL_0038/2025-05-02/1,PASS,pass,pass,pass,pass,pass,pass,150371010560,56232822204,56232822204,
AL_0039/2025-03-20/1,PASS,pass,pass,pass,pass,pass,pass,25443644928,10814511877,10814511877,
AL_0039/2025-04-19/1,PASS,pass,pass,pass,pass,pass,pass,101008278016,42207487363,42207487363,
AL_0039/2025-04-20/1,PASS,pass,pass,pass,pass,pass,pass,85198095872,36563331333,36563331333,
AL_0039/2025-04-20/2,PASS,pass,pass,pass,pass,pass,pass,115247924736,49166816134,49166816134,
AL_0039/2025-04-26/1,PASS,pass,pass,pass,pass,pass,pass,320323739136,131702309610,131702309610,
AL_0039/2025-04-28/1,PASS,pass,pass,pass,pass,pass,pass,258270131712,110332315819,110332315819,
AL_0039/2025-04-30/3,PASS,pass,pass,pass,pass,pass,pass,83108442624,36341187030,36341187030,
AL_0039/2025-05-11/1,PASS,pass,pass,pass,pass,pass,pass,184369909248,80389751653,80389751653,
AL_0039/2025-05-12/1,PASS,pass,pass,pass,pass,pass,pass,214480055808,88906795786,88906795786,
AL_0039/2025-05-13/1,PASS,pass,pass,pass,pass,pass,pass,214527518208,89498459839,89498459839,
AL_0039/2025-05-14/1,PASS,pass,pass,pass,pass,pass,pass,212105670144,91876625168,91876625168,
AL_0039/2025-05-25/1,PASS,pass,pass,pass,pass,pass,pass,190845679104,79243746762,79243746762,
